mag_field	scattering_re	scattering_im
0e0	-7.108322252882702e1	3.0492977310422327e-13
2.5006251562890724e-1	-7.098228168976691e1	2.0054728686216296e-13
5.001250312578145e-1	-7.087887737489997e1	-2.3852453805564633e-13
7.501875468867217e-1	-7.07754977114755e1	3.7999556988871904e-13
1.000250062515629e0	-7.067214580697716e1	1.6212542456859595e-13
1.2503125781445363e0	-7.056884673886377e1	-3.602291547119708e-13
1.5003750937734435e0	-7.046563634787994e1	3.011531721472628e-13
1.7504376094023506e0	-7.036248856944836e1	8.828046855189679e-14
2.000500125031258e0	-7.025940721692491e1	-8.705892657550344e-14
2.2505626406601653e0	-7.015639580052263e1	1.8611055521235998e-13
2.5006251562890727e0	-7.005345634901587e1	-9.172269007142894e-14
2.7506876719179796e0	-6.995065381639348e1	1.9654850677233682e-13
3.000750187546887e0	-6.984796748236288e1	-1.5035396786457838e-13
3.2508127031757943e0	-6.97453923912921e1	4.7749016699165386e-15
3.500875218804701e0	-6.964292179674348e1	3.0814754541960535e-13
3.7509377344336086e0	-6.954059801746241e1	-4.0742078942728776e-13
4.001000250062516e0	-6.943839088751938e1	-1.1548579360531207e-13
4.251062765691423e0	-6.933632764197611e1	-3.4690135753506163e-13
4.501125281320331e0	-6.92344267915171e1	-3.7865971552231544e-14
4.751187796949238e0	-6.91327011019587e1	-4.0864133639176735e-14
5.001250312578145e0	-6.903114681949612e1	2.8604877258750354e-13
5.251312828207052e0	-6.892977915360603e1	1.6867540331585965e-13
5.501375343835959e0	-6.882855759633676e1	-4.4084329966885503e-13
5.7514378594648665e0	-6.872752331994704e1	-2.665046152248845e-14
6.001500375093774e0	-6.862670156412118e1	-4.852602141575083e-14
6.251562890722681e0	-6.85260648018215e1	-2.0842858392543839e-13
6.501625406351589e0	-6.842565768424396e1	-4.019771191915285e-14
6.751687921980496e0	-6.832542817534177e1	-8.150581252962876e-14
7.001750437609402e0	-6.822542123621439e1	3.754373289309718e-13
7.25181295323831e0	-6.81256527498951e1	4.025316669521807e-13
7.501875468867217e0	-6.802610199015302e1	3.2402393325358166e-13
7.7519379844961245e0	-6.79267852013313e1	3.2968695361268875e-13
8.002000500125032e0	-6.78277127835954e1	2.860468605360471e-13
8.252063015753938e0	-6.772888034909376e1	1.8344299560172204e-13
8.502125531382847e0	-6.763030322872831e1	1.5212879411371053e-13
8.752188047011753e0	-6.753197918583574e1	-2.2619429669165795e-13
9.002250562640661e0	-6.743390923109129e1	9.505263326200923e-14
9.252313078269568e0	-6.733610061841082e1	-1.8921682293288248e-13
9.502375593898476e0	-6.723856975238897e1	1.2892054835838067e-13
9.752438109527382e0	-6.71412771509046e1	4.577176730005346e-13
1.000250062515629e1	-6.704427014100226e1	2.9981491126034636e-15
1.0252563140785197e1	-6.694753038542379e1	4.238492275008077e-13
1.0502625656414104e1	-6.685108596294131e1	-2.5695221345680674e-13
1.0752688172043012e1	-6.675490622638235e1	9.538540892339833e-14
1.1002750687671918e1	-6.665899505418277e1	-4.025284374629417e-13
1.1252813203300827e1	-6.656338278465337e1	-3.065877079379201e-13
1.1502875718929733e1	-6.646806251680668e1	-1.9854347688717878e-13
1.1752938234558641e1	-6.637305796306592e1	-2.7649496880705513e-14
1.2003000750187548e1	-6.627833007947358e1	-9.782808967479488e-14
1.2253063265816454e1	-6.618390002975949e1	2.5561878331894555e-13
1.2503125781445362e1	-6.608975339626338e1	-6.107309286206804e-15
1.2753188297074269e1	-6.599587808008138e1	6.81797457215326e-14
1.3003250812703177e1	-6.5902326091075e1	-4.70817552254229e-14
1.3253313328332084e1	-6.580911666093708e1	1.0282472550831817e-13
1.3503375843960992e1	-6.571615042065216e1	1.7977661769600265e-13
1.3753438359589898e1	-6.562349113318339e1	-4.5193976073603876e-14
1.4003500875218805e1	-6.553111852359584e1	2.551737246921675e-13
1.4253563390847713e1	-6.543908760201462e1	-4.016374720298245e-13
1.450362590647662e1	-6.534733775270185e1	1.6467461457975736e-13
1.4753688422105528e1	-6.525588177850368e1	-1.6445245176202748e-13
1.5003750937734434e1	-6.51647081308004e1	-3.521124057201352e-13
1.5253813453363342e1	-6.507387182833854e1	-2.2219381443073963e-13
1.5503875968992249e1	-6.4983327689361e1	-8.55018267575411e-14
1.5753938484621157e1	-6.48930222644949e1	2.1464279538721329e-13
1.6004001000250064e1	-6.480308446056885e1	7.68405297941911e-14
1.6254063515878972e1	-6.47134238906595e1	2.742717039571302e-13
1.6504126031507877e1	-6.462398641845917e1	1.9221218488144021e-13
1.6754188547136785e1	-6.453492018318394e1	7.584105198149641e-14
1.7004251062765693e1	-6.444608968459286e1	3.1602274315282605e-13
1.72543135783946e1	-6.435755249563478e1	-3.852011203794669e-13
1.7504376094023506e1	-6.426932589533183e1	-3.2146345628686265e-13
1.7754438609652414e1	-6.41813210045191e1	-9.416265487529204e-14
1.8004501125281323e1	-6.409365471346125e1	2.0753528495188241e-13
1.8254563640910227e1	-6.400620695108431e1	3.498894518892289e-13
1.8504626156539135e1	-6.391906980314702e1	2.469545506023294e-13
1.8754688672168044e1	-6.383217074524898e1	-3.4777936330387e-13
1.9004751187796952e1	-6.374551953931642e1	2.1664024054387045e-13
1.9254813703425857e1	-6.365917173357522e1	-1.9520931462238075e-13
1.9504876219054765e1	-6.357300180936013e1	-4.1584673377087126e-13
1.9754938734683673e1	-6.348715152873965e1	4.830260323171843e-14
2.000500125031258e1	-6.340147605720486e1	-2.804880963894703e-13
2.0255063765941486e1	-6.3316081384846974e1	3.12467599602167e-13
2.0505126281570394e1	-6.323089092079242e1	-2.3573860117405536e-13
2.0755188797199303e1	-6.314593286506145e1	-2.8859366814246505e-13
2.1005251312828207e1	-6.306120109362877e1	3.3845060359119047e-13
2.1255313828457115e1	-6.297663945666265e1	-8.061516795292341e-14
2.1505376344086024e1	-6.2892338687006394e1	-1.993170305194686e-13
2.1755438859714932e1	-6.280818824654247e1	-9.416198847866567e-14
2.2005501375343837e1	-6.2724297735395446e1	2.925904877241848e-13
2.2255563890972745e1	-6.264054865685013e1	-4.401625044089007e-13
2.2505626406601653e1	-6.255693096246209e1	-2.064232462242534e-13
2.2755688922230558e1	-6.2473556538932904e1	1.9010029478966254e-13
2.3005751437859466e1	-6.239029021883514e1	1.9920548186216352e-13
2.3255813953488374e1	-6.230717890877662e1	-5.540885932982841e-14
2.3505876469117283e1	-6.2224256253606775e1	1.4934846605973924e-13
2.3755938984746187e1	-6.214142348980635e1	3.105780556987694e-13
2.4006001500375096e1	-6.205871424967233e1	-2.01870100055341e-13
2.4256064016004004e1	-6.197616377005209e1	-2.215240276371872e-13
2.450612653163291e1	-6.189369185266385e1	5.427614025792393e-13
2.4756189047261817e1	-6.181127302143263e1	-5.774055084948132e-15
2.5006251562890725e1	-6.1728995505259476e1	-1.3069346213896737e-13
2.5256314078519633e1	-6.164677016003874e1	-3.8197563691604877e-14
2.5506376594148538e1	-6.156461220183706e1	-5.340994356738875e-14
2.5756439109777446e1	-6.148246313739416e1	1.7033434473992416e-13
2.6006501625406354e1	-6.140040094483884e1	3.6742901959721765e-13
2.625656414103526e1	-6.131835676710248e1	-2.0420117585960358e-13
2.6506626656664167e1	-6.1236305674184514e1	2.104192878355371e-13
2.6756689172293076e1	-6.1154246607839816e1	9.593783144120887e-14
2.7006751687921984e1	-6.107215984854798e1	-8.694362434004403e-14
2.725681420355089e1	-6.099007768894349e1	2.456184148588417e-13
2.7506876719179797e1	-6.090797217717671e1	-3.728690334801088e-13
2.7756939234808705e1	-6.082574383048741e1	1.1836754860277848e-13
2.800700175043761e1	-6.074346596360779e1	3.0024926968842297e-13
2.8257064266066518e1	-6.0661083848043695e1	-9.349474203069966e-14
2.8507126781695426e1	-6.057857450583142e1	3.4455352343725973e-13
2.8757189297324334e1	-6.0495954166359525e1	-1.305816239296911e-13
2.900725181295324e1	-6.041318833722012e1	1.9498404633677927e-13
2.9257314328582147e1	-6.03302795919387e1	8.661019040337434e-15
2.9507376844211056e1	-6.024717958437766e1	-2.168585039329333e-13
2.9757439359839964e1	-6.016384374086314e1	3.364470042577591e-14
3.000750187546887e1	-6.008029063096408e1	3.5554550110480034e-13
3.0257564391097777e1	-5.9996477186187484e1	-4.661397264064181e-13
3.0507626906726685e1	-5.991240776325102e1	-1.5545387088368868e-13
3.075768942235559e1	-5.982803352267292e1	2.2207686734033227e-14
3.1007751937984498e1	-5.974333231923478e1	3.031347993142768e-14
3.1257814453613406e1	-5.965829087624873e1	-1.1359222413833315e-13
3.1507876969242314e1	-5.957287224882324e1	-5.243228354479517e-13
3.175793948487122e1	-5.948704922345193e1	-2.999143141087328e-13
3.200800200050013e1	-5.9400795568036045e1	-4.223893284105519e-13
3.225806451612903e1	-5.9314067849855256e1	2.7504151663528073e-13
3.2508127031757944e1	-5.92268568282722e1	-2.7759527778506315e-13
3.275818954738685e1	-5.913911672511852e1	-4.57032672697837e-13
3.300825206301575e1	-5.9050817859393405e1	-5.004483438737634e-13
3.3258314578644665e1	-5.8961918928136654e1	1.7133158770478483e-13
3.350837709427357e1	-5.887238383075854e1	-4.037338860293706e-13
3.375843960990248e1	-5.878218374656719e1	-7.994726972927532e-14
3.4008502125531386e1	-5.8691278823579836e1	-6.384675023526943e-14
3.425856464116029e1	-5.859958364726855e1	-1.978693204458013e-13
3.45086271567892e1	-5.8507088463751174e1	2.1297036462986351e-13
3.475868967241811e1	-5.841374731671367e1	1.587838824411045e-14
3.500875218804701e1	-5.831950648597946e1	2.4406071173013676e-13
