mag_field	ptoentials
4e0	1.079961031839353e1	2.2630365164682047e0	4.504682675452843e0	4.504682675452843e0
4.196196196196196e0	6.016200257128846e0	1.2107502389749478e0	2.5357980889641127e0	2.5357980889641127e0
4.392392392392392e0	3.430673135330007e0	6.535833413660682e-1	1.4654484000514365e0	1.4654484000514365e0
4.588588588588588e0	1.9965663363668154e0	3.5274718142495237e-1	8.674304240207896e-1	8.674304240207896e-1
4.784784784784785e0	1.1824830162576894e0	1.8786899505382393e-1	5.248499964172645e-1	5.248499964172645e-1
4.980980980980981e0	7.106970363988712e-1	9.661716202507706e-2	3.2404512910486327e-1	3.2404512910486327e-1
5.177177177177177e0	4.322020947854545e-1	4.593553547031125e-2	2.0382983992930684e-1	2.0382983992930684e-1
5.373373373373373e0	2.6511540130315797e-1	1.7920680698355347e-2	1.3044272775618504e-1	1.3044272775618504e-1
5.56956956956957e0	1.6344392718578496e-1	2.696593241186273e-3	8.482512378447671e-2	8.482512378447671e-2
5.7657657657657655e0	1.0083056824704195e-1	-5.270405773182114e-3	5.598867074831878e-2	5.598867074831878e-2
5.961961961961962e0	6.189117815388873e-2	-9.120996378897812e-3	3.74725880684305e-2	3.74725880684305e-2
6.158158158158158e0	3.749432670948504e-2	-1.0655311522132466e-2	2.540820802100391e-2	2.540820802100391e-2
6.354354354354355e0	2.2136271637041908e-2	-1.0911771382335558e-2	1.7439215361447345e-2	1.7439215361447345e-2
6.55055055055055e0	1.2453218410426433e-2	-1.0490775337465078e-2	1.2107388270028049e-2	1.2107388270028049e-2
6.746746746746746e0	6.36319438328241e-3	-9.738418565537033e-3	8.496717900748033e-3	8.496717900748033e-3
6.942942942942943e0	2.562941086505305e-3	-8.852130222273404e-3	6.023666848636628e-3	6.023666848636628e-3
7.1391391391391394e0	2.2844451312991525e-4	-7.942099011905242e-3	4.311555132688676e-3	4.311555132688676e-3
7.335335335335335e0	-1.1658476389423043e-3	-7.067321846285795e-3	3.1141851540486677e-3	3.1141851540486677e-3
7.531531531531531e0	-1.9575946150881002e-3	-6.256910579852151e-3	2.268738888596174e-3	2.268738888596174e-3
7.727727727727728e0	-2.3650104755672e-3	-5.522744574592249e-3	1.666335143792874e-3	1.666335143792874e-3
7.923923923923924e0	-2.529713151655665e-3	-4.866997548369908e-3	1.2333903082730534e-3	1.2333903082730534e-3
8.12012012012012e0	-2.5438257283358834e-3	-4.2866067709047585e-3	9.196755782274279e-4	9.196755782274279e-4
8.316316316316316e0	-2.467279714947759e-3	-3.775908752202409e-3	6.905769899751982e-4	6.905769899751982e-4
8.512512512512512e0	-2.338957533516448e-3	-3.3281722344393294e-3	5.220245644988547e-4	5.220245644988547e-4
8.70870870870871e0	-2.1839231343648573e-3	-2.936467882693951e-3	3.971356975645291e-4	3.971356975645291e-4
8.904904904904905e0	-2.0181461262987425e-3	-2.5941403156049462e-3	3.0397136034579074e-4	3.0397136034579074e-4
9.1011011011011e0	-1.8516064734032814e-3	-2.2950436662686445e-3	2.3402207904379003e-4	2.3402207904379003e-4
9.297297297297298e0	-1.690344888701148e-3	-2.03363863497003e-3	1.8117717228961967e-4	1.8117717228961967e-4
9.493493493493492e0	-1.5378221031781061e-3	-1.8050105032657734e-3	1.4101698149205733e-4	1.4101698149205733e-4
9.68968968968969e0	-1.3958222957996553e-3	-1.6048440478903534e-3	1.1032290021095129e-4	1.1032290021095129e-4
9.885885885885886e0	-1.2650542554060239e-3	-1.4293768724207953e-3	8.673551925533708e-5	8.673551925533708e-5
1.0082082082082081e1	-1.1455511986717512e-3	-1.2753438336857565e-3	6.851432015474808e-5	6.851432015474808e-5
1.0278278278278279e1	-1.0369359840624625e-3	-1.1399198314208515e-3	5.4367534398892315e-5	5.4367534398892315e-5
1.0474474474474473e1	-9.385961035415689e-4	-1.0206649393042254e-3	4.333084777483011e-5	4.333084777483011e-5
1.067067067067067e1	-8.497981114983604e-4	-9.15473874085428e-4	3.468035238226658e-5	3.468035238226658e-5
1.0866866866866866e1	-7.69761395658343e-4	-8.225306265588605e-4	2.7869677428729893e-5	2.7869677428729893e-5
1.1063063063063062e1	-6.977046945882402e-4	-7.402684029819218e-4	2.248430371152183e-5	2.248430371152183e-5
1.125925925925926e1	-6.328744126493003e-4	-6.67334654961295e-4	1.8208168587095373e-5	1.8208168587095373e-5
1.1455455455455455e1	-5.745608537742738e-4	-6.025607895558954e-4	1.4799115795288253e-5	1.4799115795288253e-5
1.1651651651651651e1	-5.221065164743009e-4	-5.449360746142003e-4	1.2070748301990316e-5	1.2070748301990316e-5
1.1847847847847849e1	-4.749092511743787e-4	-4.935852408871485e-4	9.878943009796121e-6	9.878943009796121e-6
1.2044044044044044e1	-4.324221694930693e-4	-4.4774930377668474e-4	8.111778418388142e-6	8.111778418388142e-6
1.224024024024024e1	-3.941515745669236e-4	-4.06769166402374e-4	6.681974243615712e-6	6.681974243615712e-6
1.2436436436436436e1	-3.596537587130838e-4	-3.700716116814875e-4	5.521189396844782e-6	5.521189396844782e-6
1.2632632632632632e1	-3.2853122668461337e-4	-3.3715733835095157e-4	4.5757016464903824e-6	4.5757016464903824e-6
1.282882882882883e1	-3.0042870683594095e-4	-3.0759074102287213e-4	3.8031195104680407e-6	3.8031195104680407e-6
1.3025025025025025e1	-2.7502917964114564e-4	-2.8099117580383755e-4	3.169868911974947e-6	3.169868911974947e-6
1.322122122122122e1	-2.5205006336108914e-4	-2.5702549004449476e-4	2.649263980636146e-6	2.649263980636146e-6
