factors	triplet	singlet
9.648296593186373e-1	7.004803982332649e1	-5.807392645697638e0
9.650300601202404e-1	7.05048388194763e1	-4.247873783608802e0
9.652304609218436e-1	7.096179346827334e1	-2.7239858666737806e0
9.654308617234468e-1	7.14189498383881e1	-1.2341801789356883e0
9.6563126252505e-1	7.187634601383786e1	2.2300626748055835e-1
9.658316633266533e-1	7.233403271455121e1	1.6489577629093497e0
9.660320641282565e-1	7.279204670458157e1	3.0449862668170464e0
9.662324649298597e-1	7.325043085813212e1	4.4123354785460105e0
9.664328657314629e-1	7.37092277695774e1	5.752184440084386e0
9.666332665330661e-1	7.416847947123071e1	7.065657035392392e0
9.668336673346694e-1	7.462822781526384e1	8.353808945265408e0
9.670340681362726e-1	7.508851757188724e1	9.617660418184506e0
9.672344689378757e-1	7.55494558518519e1	1.0858170936813337e1
9.674348697394789e-1	7.601095522510813e1	1.2076264048137023e1
9.676352705410821e-1	7.647312446093778e1	1.3272806277980356e1
9.678356713426853e-1	7.693600715787004e1	1.4448634950562104e1
9.680360721442886e-1	7.739964610940734e1	1.5604544794281793e1
9.682364729458918e-1	7.786408739855231e1	1.6741296342646322e1
9.68436873747495e-1	7.832937445399972e1	1.7859615351372472e1
9.686372745490982e-1	7.879549525633142e1	1.896019611107666e1
9.688376753507014e-1	7.926260696827948e1	2.0043725821127612e1
9.690380761523045e-1	7.973075590897501e1	2.1110794746191658e1
9.692384769539077e-1	8.019982013283753e1	2.2162036517393283e1
9.69438877755511e-1	8.06700101596268e1	2.3198032703160962e1
9.696392785571142e-1	8.11413194835609e1	2.4219342421253923e1
9.698396793587174e-1	8.161385383821914e1	2.5226508430197704e1
9.700400801603206e-1	8.208748497080447e1	2.6220044805032877e1
9.702404809619238e-1	8.256243438999172e1	2.7200448989736568e1
9.70440881763527e-1	8.3038691372984e1	2.8168195752145873e1
9.706412825651303e-1	8.35163581641007e1	2.9123748097891692e1
9.708416833667335e-1	8.399537786520204e1	3.006754484552368e1
9.710420841683367e-1	8.44758527960141e1	3.1000013482470493e1
9.712424849699398e-1	8.495783153426133e1	3.1921564425517065e1
9.71442885771543e-1	8.544136837643433e1	3.283259391129011e1
9.716432865731462e-1	8.592651287132918e1	3.373348430616167e1
9.718436873747495e-1	8.641331683909604e1	3.462460436351194e1
9.720440881763527e-1	8.690177937407121e1	3.550630901753373e1
9.722444889779559e-1	8.739206074768319e1	3.637894724050366e1
9.724448897795591e-1	8.788416126001985e1	3.724285496397918e1
9.726452905811623e-1	8.837818941661591e1	3.809834577492174e1
9.728456913827656e-1	8.887409194325112e1	3.894573734096728e1
9.730460921843687e-1	8.937197599599699e1	3.978533340594496e1
9.732464929859719e-1	8.987190560364499e1	4.061742701375985e1
9.734468937875751e-1	9.037393432926262e1	4.144230391472085e1
9.736472945891783e-1	9.087812004438827e1	4.226024133401868e1
9.738476953907815e-1	9.138452275430159e1	4.3071506161521725e1
9.740480961923847e-1	9.189320323275818e1	4.3876367253341904e1
9.74248496993988e-1	9.240422228977106e1	4.46750697776946e1
9.744488977955912e-1	9.291764199109564e1	4.54678672075534e1
9.746492985971944e-1	9.343352536231538e1	4.6255001978064534e1
9.748496993987976e-1	9.395193660365243e1	4.7036708117092445e1
9.750501002004008e-1	9.447294091350659e1	4.781321850101039e1
9.752505010020039e-1	9.499660066641283e1	4.858475106975077e1
9.754509018036072e-1	9.552299093977358e1	4.9351528228519854e1
9.756513026052104e-1	9.605217628211882e1	5.0113761968401846e1
9.758517034068136e-1	9.658422737598791e1	5.087166638814167e1
9.760521042084168e-1	9.711921409048965e1	5.16254476258373e1
9.7625250501002e-1	9.765720923080235e1	5.237530061256964e1
9.764529058116233e-1	9.819828636942403e1	5.3121424467229936e1
9.766533066132265e-1	9.874252041290745e1	5.386401784714027e1
9.768537074148297e-1	9.928998362193661e1	5.4603257520713015e1
9.770541082164328e-1	9.984076257446407e1	5.533934124670798e1
9.77254509018036e-1	1.0039493217500784e2	5.607245138111404e1
9.774549098196392e-1	1.0095257358785237e2	5.680276735666042e1
