mag_field	scattering_re	scattering_im
0e0	7.352299238908125e1	-1.2192923701841456e-13
2.5006251562890724e-1	7.352239492521561e1	-1.219292365836813e-13
5.001250312578145e-1	7.352181060257757e1	1.3947460893844101e-13
7.501875468867217e-1	7.352121300938154e1	2.8650038995054526e-14
1.000250062515629e0	7.352062094443929e1	-1.7811884645621204e-13
1.2503125781445363e0	7.352003029722731e1	-3.9088425019702335e-13
1.5003750937734435e0	7.351943427414818e1	2.505212685534049e-13
1.7504376094023506e0	7.351885465815288e1	1.4658159279554162e-13
2.000500125031258e0	7.351825817105372e1	1.2481644675434377e-13
2.2505626406601653e0	7.35176605199789e1	3.284760215147953e-13
2.5006251562890727e0	7.351708680834717e1	6.862683590304317e-14
2.7506876719179796e0	7.351650144606916e1	2.696212896287367e-13
3.000750187546887e0	7.351591103865275e1	3.264771782190379e-14
3.2508127031757943e0	7.351532326093562e1	7.440126144202942e-14
3.500875218804701e0	7.351474162221581e1	1.1060247184936281e-13
3.7509377344336086e0	7.351415010488903e1	-7.262451439174208e-14
4.001000250062516e0	7.351356914541903e1	2.2120494215116565e-13
4.251062765691423e0	7.35129857650968e1	2.0299328958068746e-13
4.501125281320331e0	7.351239898865656e1	5.427960590790331e-13
4.751187796949238e0	7.351182104072814e1	3.708958328707163e-14
5.001250312578145e0	7.351124216907093e1	3.331399684936973e-13
5.251312828207052e0	7.351067106303528e1	-2.2076075170287252e-13
5.501375343835959e0	7.351009227081126e1	-5.403530251893782e-13
5.7514378594648665e0	7.350950901366242e1	1.0282920254501746e-13
6.001500375093774e0	7.350895652249338e1	-1.581304362225281e-13
6.251562890722681e0	7.350838217472187e1	2.8005966206922033e-13
6.501625406351589e0	7.350780737283628e1	2.029932833095756e-13
6.751687921980496e0	7.350723343224627e1	-1.7389905939510632e-13
7.001750437609402e0	7.350667015959083e1	-2.3986077077335813e-13
7.25181295323831e0	7.350610503994848e1	2.2231539882832113e-13
7.501875468867217e0	7.350554200012105e1	-1.5568740664848808e-13
7.7519379844961245e0	7.350497743673915e1	2.209828375085063e-13
8.002000500125032e0	7.350441989380721e1	-1.79895575664787e-13
8.252063015753938e0	7.350385739610606e1	-4.175354087837434e-14
8.502125531382847e0	7.350330270825117e1	1.816723208802249e-13
8.752188047011753e0	7.350275772241471e1	-1.350327270611587e-13
9.002250562640661e0	7.35022039946342e1	-4.0998423245302803e-13
9.252313078269568e0	7.350165830611607e1	-1.5613158964039274e-13
9.502375593898476e0	7.350111635592168e1	-9.239081234765651e-14
9.752438109527382e0	7.350056572817108e1	-2.376398290558789e-13
1.000250062515629e1	7.350001796901752e1	-1.9188860900309238e-13
1.0252563140785197e1	7.349947803857995e1	2.776166209273899e-14
1.0502625656414104e1	7.349893964969536e1	-1.9588628709718666e-13
1.0752688172043012e1	7.349839746014436e1	2.6784451414410445e-13
1.1002750687671918e1	7.349786576287651e1	-4.1020631513677125e-13
1.1252813203300827e1	7.34973370485387e1	-2.154304950880769e-14
1.1502875718929733e1	7.349681106750626e1	2.331979578687723e-14
1.1752938234558641e1	7.349627765131378e1	-5.3080296907889417e-14
1.2003000750187548e1	7.349575457904041e1	2.5962705812426954e-13
1.2253063265816454e1	7.349523460193971e1	-1.066047797374501e-14
1.2503125781445362e1	7.349472393550757e1	3.715620749113638e-13
1.2753188297074269e1	7.349420464504963e1	5.050401409031971e-13
1.3003250812703177e1	7.34936973541738e1	1.4102923856774055e-13
1.3253313328332084e1	7.349319071923394e1	-2.749514910538399e-13
1.3503375843960992e1	7.349267686544394e1	4.1309351517978685e-14
1.3753438359589898e1	7.34921679577491e1	-2.400828433084573e-13
1.4003500875218805e1	7.349166958439797e1	-2.947177910482627e-13
1.4253563390847713e1	7.349116648423406e1	1.752316024410363e-13
1.450362590647662e1	7.349066884826948e1	-1.901118520206035e-13
1.4753688422105528e1	7.349017401007966e1	-2.1387583289189183e-13
1.5003750937734434e1	7.348967987343634e1	1.3036875756749075e-13
1.5253813453363342e1	7.348919012866807e1	4.608435624570127e-13
1.5503875968992249e1	7.34887168086338e1	-2.4652354355737786e-13
1.5753938484621157e1	7.348823231588361e1	3.762260194408363e-13
1.6004001000250064e1	7.348775391547106e1	3.4890854477859656e-13
1.6254063515878972e1	7.34872679003578e1	7.551171539199231e-15
1.6504126031507877e1	7.348680090098631e1	1.1637687869172183e-13
1.6754188547136785e1	7.34863206088774e1	-1.6612577292371515e-13
1.7004251062765693e1	7.348585767260023e1	-3.1004221706034307e-13
1.72543135783946e1	7.348539173241572e1	2.569619227377345e-13
1.7504376094023506e1	7.348493392873999e1	3.0115848425314155e-13
1.7754438609652414e1	7.348447555170019e1	6.551751667535991e-14
1.8004501125281323e1	7.348401939799734e1	-1.3836411111083238e-13
1.8254563640910227e1	7.348355899793913e1	-3.007142952321151e-13
1.8504626156539135e1	7.348311946180462e1	-2.494107479027674e-13
1.8754688672168044e1	7.34826760953933e1	-1.3325596468916452e-15
1.9004751187796952e1	7.348222950796679e1	2.1098861019583497e-14
1.9254813703425857e1	7.348179526780478e1	5.1081452862485905e-14
1.9504876219054765e1	7.348135683916634e1	-4.1153883437684077e-13
1.9754938734683673e1	7.34809299502348e1	-5.885471712476656e-14
2.000500125031258e1	7.348049590538218e1	1.4413853326449722e-13
2.0255063765941486e1	7.348006094779892e1	-1.1770943363944503e-13
2.0505126281570394e1	7.347963930930631e1	3.931050887130201e-13
2.0755188797199303e1	7.347921066536955e1	2.8050379987303226e-13
2.1005251312828207e1	7.347879692956215e1	1.0771523563160928e-13
2.1255313828457115e1	7.347837465572479e1	1.5479900834257956e-13
2.1505376344086024e1	7.347796581388336e1	2.154304701953686e-14
2.1755438859714932e1	7.347755771929731e1	6.8848912987646e-14
2.2005501375343837e1	7.347715095590053e1	1.8678043768433712e-13
