mag_field	scattering_re	scattering_im
0e0	8.219961330082499e1	-1.6391386363751899e-13
1.0040160642570282e0	8.223357818396474e1	-4.864111690046443e-14
2.0080321285140563e0	8.227857973847642e1	-2.067803353441198e-13
3.0120481927710845e0	8.232368410181009e1	1.3792763365757922e-13
4.016064257028113e0	8.236878488481209e1	9.972548499020844e-14
5.020080321285141e0	8.241378994426006e1	2.909586295242383e-13
6.024096385542169e0	8.245868248758403e1	-2.0433741951165458e-14
7.028112449799197e0	8.250336523923274e1	-1.4259202453140356e-13
8.032128514056225e0	8.254778607908102e1	-6.352232266295696e-14
9.036144578313253e0	8.259182276353813e1	2.565325326192115e-13
1.0040160642570282e1	8.263548895238428e1	-2.165535000310998e-13
1.104417670682731e1	8.267864763868012e1	3.1738978578089185e-13
1.2048192771084338e1	8.272131624636124e1	-2.4054110318088753e-13
1.3052208835341366e1	8.27633964906085e1	1.8790196749597323e-13
1.4056224899598394e1	8.280490050059612e1	2.0367157475852198e-13
1.5060240963855422e1	8.284568711069356e1	1.9989582065827004e-14
1.606425702811245e1	8.288579608159667e1	1.6635778895222143e-13
1.706827309236948e1	8.292516628702803e1	1.7390945695419033e-13
1.8072289156626507e1	8.29637665866191e1	-6.441092672109145e-15
1.9076305220883533e1	8.300155221552416e1	2.145550725747947e-13
2.0080321285140563e1	8.30385681708692e1	-4.23335476528267e-13
2.1084337349397593e1	8.30747170875995e1	-3.7358365426607243e-13
2.208835341365462e1	8.311004570371696e1	-7.795950885241604e-14
2.3092369477911646e1	8.314452844727884e1	-3.549268493708453e-13
2.4096385542168676e1	8.3178156105859e1	2.1300057935191484e-13
2.5100401606425706e1	8.321093109129185e1	-2.3632186296747217e-13
2.6104417670682732e1	8.324285151845889e1	1.3815059253695025e-13
2.710843373493976e1	8.327389828163794e1	2.29880857351398e-13
2.811244979919679e1	8.330412583974281e1	5.064043109891704e-13
2.911646586345382e1	8.333352327029209e1	-1.7057832813604505e-13
3.0120481927710845e1	8.336210227788074e1	-6.929745920206311e-14
3.112449799196787e1	8.338983103908065e1	-3.3316092406167806e-15
3.21285140562249e1	8.341679909827812e1	-1.0594519319133403e-13
3.313253012048193e1	8.344299078803434e1	-2.8985010825224367e-13
3.413654618473896e1	8.346839853837578e1	-2.2610533408794312e-13
3.5140562248995984e1	8.349306450384213e1	4.4954545448750287e-13
3.6144578313253014e1	8.35169828403967e1	8.973141949284884e-14
3.7148594377510044e1	8.354020053751942e1	-2.6897219334111773e-13
3.815261044176707e1	8.356275622504766e1	-2.480941254512953e-13
3.91566265060241e1	8.358459180421205e1	2.4653940916922693e-14
4.016064257028113e1	8.360578958704559e1	-4.3444248079918917e-13
4.1164658634538156e1	8.362639088169608e1	1.474794721774521e-13
4.2168674698795186e1	8.364634759644854e1	2.1810973086734416e-13
4.317269076305221e1	8.366571571568558e1	-4.175624724649722e-14
4.417670682730924e1	8.368448956116968e1	3.664777486137817e-14
4.518072289156627e1	8.370271797690872e1	-2.4009848200881537e-13
4.618473895582329e1	8.372041794483985e1	-1.932337691620152e-14
4.718875502008032e1	8.373759766783424e1	5.452746651533353e-13
4.819277108433735e1	8.375426079713077e1	1.5747445270017276e-13
4.919678714859438e1	8.377044178904103e1	2.2610579757619797e-13
5.020080321285141e1	8.378620816809888e1	1.4325958258715806e-13
5.1204819277108435e1	8.380145200219985e1	7.440614750641724e-14
5.2208835341365464e1	8.381629551283355e1	1.616945697127011e-13
5.3212851405622494e1	8.383071359333007e1	-2.529809518753677e-13
