mag_field	scattering_re	scattering_im
0e0	2.8834015655732532e1	9.798048852915028e-14
2.5006251562890724e-1	2.8904385372007386e1	-2.2319015246455991e-13
5.001250312578145e-1	2.8978246885305786e1	-9.82858434309542e-14
7.501875468867217e-1	2.9055812242113884e1	-4.2595166023303536e-13
1.000250062515629e0	2.913727667645635e1	-5.321759906930981e-13
1.2503125781445363e0	2.9222905496345653e1	-2.7867563919993723e-14
1.5003750937734435e0	2.93129460373021e1	-1.3378654066848832e-13
1.7504376094023506e0	2.9407703392150257e1	-1.4316828477722983e-13
2.000500125031258e0	2.950747396358544e1	4.697519638777046e-13
2.2505626406601653e0	2.961262633314847e1	1.867739164836898e-13
2.5006251562890727e0	2.972355501019706e1	-2.335993016935183e-13
2.7506876719179796e0	2.9840684130062165e1	1.5060719699841162e-13
3.000750187546887e0	2.9964513875620494e1	-1.7991819837902125e-13
3.2508127031757943e0	3.00955924970929e1	4.890712231544544e-14
3.500875218804701e0	3.023452109106512e1	1.6137690458659454e-13
3.7509377344336086e0	3.0382037823225488e1	-1.2859640012438117e-13
4.001000250062516e0	3.0538902833593482e1	4.41080549766272e-13
4.251062765691423e0	3.070607767628328e1	-3.600035937336191e-14
4.501125281320331e0	3.088460604281207e1	1.7708742892474492e-13
4.751187796949238e0	3.1075736989186716e1	8.982056355308636e-14
5.001250312578145e0	3.1280903834228898e1	-2.4314849979189453e-13
5.251312828207052e0	3.1501830137698562e1	6.669933492692358e-14
5.501375343835959e0	3.1740526105441443e1	2.88281197264504e-13
5.7514378594648665e0	3.1999465969195203e1	-3.0790539800507085e-13
6.001500375093774e0	3.228155662196507e1	2.6069139336296143e-13
6.251562890722681e0	3.259046954013951e1	-2.4523108324838554e-13
6.501625406351589e0	3.293066862665168e1	-1.3253870763884005e-13
6.751687921980496e0	3.330777893746067e1	2.684362599389262e-13
7.001750437609402e0	3.3729026267583265e1	6.625561854413346e-14
7.25181295323831e0	3.420374469856631e1	2.0573409613988555e-13
7.501875468867217e0	3.4744264935466234e1	-1.2868115387444325e-13
7.7519379844961245e0	3.5367294339513414e1	6.661676377957717e-14
8.002000500125032e0	3.609596716066646e1	2.384885184198023e-13
8.252063015753938e0	3.696337810565325e1	1.4222745714580132e-13
8.502125531382847e0	3.801852494426808e1	-6.761654922785221e-14
8.752188047011753e0	3.933731521673678e1	-8.682489400477306e-14
9.002250562640661e0	4.104401473867314e1	9.20992974702513e-14
9.252313078269568e0	4.335707844838571e1	2.7868724348670264e-14
9.502375593898476e0	4.6699557486984084e1	-1.5261366387595258e-13
9.752438109527382e0	5.201195344063792e1	4.869972913389105e-13
1.000250062515629e1	6.189294043397568e1	-1.39354655824222e-13
1.0252563140785197e1	8.713531113781258e1	-1.048373546634083e-13
1.0502625656414104e1	2.993557247670702e2	-3.7795754862996705e-13
1.0752688172043012e1	-6.817819991515728e1	7.051246422633346e-14
1.1002750687671918e1	-1.1011321346203127e1	-5.448099363108927e-13
1.1252813203300827e1	4.427176557158346e0	-1.533323300344214e-13
1.1502875718929733e1	1.1690544759373962e1	-1.1938433192725324e-14
1.1752938234558641e1	1.5966833708358873e1	3.144947429776927e-13
1.2003000750187548e1	1.8823671847363652e1	1.89725965950436e-13
1.2253063265816454e1	2.0897380226243143e1	2.8894066406812745e-14
1.2503125781445362e1	2.2495302760039774e1	3.0284730633464917e-13
1.2753188297074269e1	2.3784166110076637e1	-3.6134425840409326e-13
1.3003250812703177e1	2.486235672151681e1	-1.0755555420534433e-13
1.3253313328332084e1	2.5791814408142262e1	-1.240430168617567e-13
1.3503375843960992e1	2.6613524728086993e1	3.4803716875204435e-13
1.3753438359589898e1	2.7355779889378113e1	4.596462944640912e-13
1.4003500875218805e1	2.8038819948765628e1	-1.7800218681335553e-13
1.4253563390847713e1	2.8677622842400407e1	-8.909837205379962e-14
1.450362590647662e1	2.92835156087866e1	2.1339229308297633e-13
1.4753688422105528e1	2.9865322073615474e1	3.2680597923707506e-13
1.5003750937734434e1	3.0430131313413987e1	4.9406781652365855e-14
1.5253813453363342e1	3.0983687000088395e1	-4.1782096095393085e-13
1.5503875968992249e1	3.1530834130900356e1	8.49632456770846e-14
1.5753938484621157e1	3.207571640051593e1	-3.5958849925397485e-13
1.6004001000250064e1	3.262194851607854e1	2.2069411492684646e-13
1.6254063515878972e1	3.317281261336025e1	2.738764979998521e-13
1.6504126031507877e1	3.3731286007930166e1	-9.936955000235839e-14
1.6754188547136785e1	3.4300223020798256e1	2.645787817724771e-13
1.7004251062765693e1	3.488229363781453e1	-4.269018374959949e-14
1.72543135783946e1	3.548017340276648e1	-5.233303633368211e-13
1.7504376094023506e1	3.6096528822036205e1	-2.050135242024135e-13
1.7754438609652414e1	3.673403403232264e1	-3.023302889198911e-13
1.8004501125281323e1	3.7395469056454516e1	-1.0753120366136152e-13
1.8254563640910227e1	3.80837368302294e1	5.425424209511891e-13
1.8504626156539135e1	3.880192680214046e1	-2.487051564128486e-13
1.8754688672168044e1	3.955332482730315e1	1.6154770864405758e-13
1.9004751187796952e1	4.034148495037164e1	-2.5753324257072026e-13
1.9254813703425857e1	4.117028616124232e1	-2.873454879917593e-13
1.9504876219054765e1	4.204396858403033e1	-1.119185110644666e-13
1.9754938734683673e1	4.296722321168861e1	8.604873253782524e-15
2.000500125031258e1	4.394528508194319e1	2.1151406590439595e-13
2.0255063765941486e1	4.4983989204534936e1	-7.833266822964999e-14
2.0505126281570394e1	4.608991069931601e1	2.1406945679010164e-13
2.0755188797199303e1	4.7270519076693425e1	-4.274746347605843e-14
2.1005251312828207e1	4.853426478910151e1	2.2162170493231842e-13
2.1255313828457115e1	4.989086327497463e1	-1.2990921845959765e-14
2.1505376344086024e1	5.1351523464236536e1	-1.9464292894007016e-13
2.1755438859714932e1	5.2929165055088696e1	1.4023711397863032e-13
2.2005501375343837e1	5.46389401047048e1	3.231140522590967e-14
2.2255563890972745e1	5.649858735477684e1	-1.522312995454347e-13
2.2505626406601653e1	5.8529129413357175e1	-5.02001626327515e-13
2.2755688922230558e1	6.075555943058017e1	2.7182331953715797e-13
2.3005751437859466e1	6.32080157636173e1	-1.140383961324184e-13
2.3255813953488374e1	6.592299596245661e1	1.2880858986249731e-14
2.3505876469117283e1	6.894526858133148e1	-1.8233379608456845e-13
2.3755938984746187e1	7.23302992237101e1	-5.796594934706593e-14
2.4006001500375096e1	7.614767260199255e1	8.217584141689048e-14
2.4256064016004004e1	8.048592908983193e1	-3.593626433757952e-13
2.450612653163291e1	8.545942836371948e1	-1.2593661519058135e-13
2.4756189047261817e1	9.121864789082403e1	-1.6658970284638257e-14
2.5006251562890725e1	9.796548954739303e1	2.296835661127497e-13
2.5256314078519633e1	1.0597746746411954e2	2.3547458632931833e-13
2.5506376594148538e1	1.1564671127576814e2	3.088095602602668e-13
2.5756439109777446e1	1.2754594051154226e2	-2.1730302706536672e-13
2.6006501625406354e1	1.4254600012784923e2	-1.626707137057405e-13
2.625656414103526e1	1.620389278709649e2	-2.2583776589554526e-13
2.6506626656664167e1	1.8839638421072775e2	1.6543920171877983e-13
2.6756689172293076e1	2.2601550775007019e2	4.503501913839083e-13
2.7006751687921984e1	2.840682121548652e2	2.7801937736663134e-13
2.725681420355089e1	3.853971053627901e2	-5.396942217893892e-13
2.7506876719179797e1	6.0711466524831e2	2.8846954098303445e-14
2.7756939234808705e1	1.47752407825213e3	-1.2376140855727648e-13
2.800700175043761e1	-3.1547458061446227e3	-1.5961575040647726e-13
2.8257064266066518e1	-7.49068320808052e2	-1.453453056341788e-13
2.8507126781695426e1	-4.205196795763716e2	-2.433186895202383e-13
2.8757189297324334e1	-2.901197170143365e2	-4.206525469077759e-13
2.900725181295324e1	-2.2014917996656862e2	2.1892174101988608e-13
2.9257314328582147e1	-1.765079592888454e2	4.4731873935376884e-13
2.9507376844211056e1	-1.466908333976726e2	8.445065148715004e-14
2.9757439359839964e1	-1.2502936382355081e2	2.0130006761182666e-13
3.000750187546887e1	-1.085815228997861e2	3.372250239151998e-13
3.0257564391097777e1	-9.566844571466457e1	-1.3616391193608477e-13
3.0507626906726685e1	-8.526222565875796e1	1.8079764499269529e-13
