distance	triplet	singlet
1.1155778894472363e1	-1.0462774740407034e-3	-1.4627667429460806e-3
1.1236180904522612e1	-1.024519351902488e-3	-1.4066201271784736e-3
1.1316582914572864e1	-1.0019966716366907e-3	-1.3527637902819964e-3
1.1396984924623116e1	-9.78912507950251e-4	-1.3011105573003988e-3
1.1477386934673367e1	-9.554422443956542e-4	-1.2515749090828377e-3
1.1557788944723619e1	-9.317369787044592e-4	-1.2040732438687014e-3
1.1638190954773869e1	-9.07926513418013e-4	-1.1585240795929119e-3
1.171859296482412e1	-8.841219833248437e-4	-1.114848206157104e-3
1.1798994974874372e1	-8.604181646155815e-4	-1.0729687955833439e-3
1.1879396984924623e1	-8.368955049431364e-4	-1.0328114768266418e-3
1.1959798994974875e1	-8.136219086078875e-4	-9.943043810436295e-4
1.2040201005025125e1	-7.906543067714169e-4	-9.573781622741369e-4
1.2120603015075377e1	-7.680400388492428e-4	-9.219659977704427e-4
1.2201005025125628e1	-7.458180679669463e-4	-8.880035715888187e-4
1.228140703517588e1	-7.240200505195201e-4	-8.554290445252111e-4
1.2361809045226131e1	-7.026712773943978e-4	-8.241830130192274e-4
1.2442211055276381e1	-6.817915022558685e-4	-7.942084592574123e-4
1.2522613065326633e1	-6.613956704006103e-4	-7.654506943690904e-4
1.2603015075376884e1	-6.414945600447464e-4	-7.378572963180513e-4
1.2683417085427136e1	-6.220953464609359e-4	-7.113780438443599e-4
1.2763819095477388e1	-6.032020981225968e-4	-6.859648475969443e-4
1.284422110552764e1	-5.84816212908046e-4	-6.615716794143446e-4
1.2924623115577889e1	-5.66936801449922e-4	-6.38154500553924e-4
1.300502512562814e1	-5.49561023867213e-4	-6.15671189535301e-4
1.3085427135678392e1	-5.3268438537333e-4	-5.940814701486307e-4
1.3165829145728644e1	-5.163009956007266e-4	-5.733468400799232e-4
1.3246231155778895e1	-5.004037959091393e-4	-5.534305005215779e-4
1.3326633165829145e1	-4.849847584405929e-4	-5.342972870646672e-4
1.3407035175879397e1	-4.700350602412124e-4	-5.159136021085392e-4
1.3487437185929648e1	-4.555452353800687e-4	-4.982473489715432e-4
1.35678391959799e1	-4.4150530765211897e-4	-4.8126786784278815e-4
1.3648241206030152e1	-4.2790490615009653e-4	-4.649458736777867e-4
1.3728643216080402e1	-4.1473336572388935e-4	-4.4925339610959477e-4
1.3809045226130653e1	-4.019798141111661e-4	-4.341637214208467e-4
1.3889447236180905e1	-3.8963324731592866e-4	-4.1965133660018864e-4
1.3969849246231156e1	-3.7768259462892933e-4	-4.0569187548840255e-4
