mag_field	scattering_re	scattering_im
0e0	1.5067577847426702e2	-1.6535343254669243e-13
2.5006251562890724e-1	1.5036229339628892e2	-1.5112890294829615e-13
5.001250312578145e-1	1.5006613273019587e2	-2.933668118420977e-14
7.501875468867217e-1	1.497735950352329e2	-7.022998694509623e-14
1.000250062515629e0	1.4948464513692002e2	3.440368308029745e-13
1.2503125781445363e0	1.491993123405649e2	-1.9735377895459937e-13
1.5003750937734435e0	1.4891759118952206e2	-2.151326659114963e-13
1.7504376094023506e0	1.4863941237340052e2	2.2402169345778525e-13
2.000500125031258e0	1.4836482525139553e2	8.889720337415784e-15
2.2505626406601653e0	1.4809381592994876e2	-2.0446290153428047e-13
2.5006251562890727e0	1.4782631709889793e2	3.4580788415648337e-13
2.7506876719179796e0	1.4756236607277114e2	-1.5023482679560748e-13
3.000750187546887e0	1.4730193852109912e2	1.0489736301768341e-13
3.2508127031757943e0	1.4704501807341228e2	3.5380527486390424e-13
3.500875218804701e0	1.467915663923218e2	-3.555821168010905e-15
3.7509377344336086e0	1.46541607347612e2	-4.9781348316160116e-14
4.001000250062516e0	1.4629512832151173e2	-1.9290216003192653e-13
4.251062765691423e0	1.4605207178326216e2	-1.6890002203122072e-13
4.501125281320331e0	1.4581243618211144e2	1.3423068938073128e-13
4.751187796949238e0	1.45576228746994e2	1.9290051844233696e-13
5.001250312578145e0	1.4534342733585493e2	-1.5645344694613544e-13
5.251312828207052e0	1.4511399761569967e2	2.302348479678135e-13
5.501375343835959e0	1.4488790352991296e2	3.87575779015858e-13
5.7514378594648665e0	1.4466518191298294e2	-1.4667393639483553e-13
6.001500375093774e0	1.444457711968736e2	1.333395991359814e-14
6.251562890722681e0	1.442297014341142e2	2.9512423279945815e-13
6.501625406351589e0	1.4401689686061354e2	2.835674579841777e-13
6.751687921980496e0	1.4380735276308386e2	-4.017936598040532e-13
7.001750437609402e0	1.4360106378114023e2	-1.795622214739845e-13
7.25181295323831e0	1.4339801386419046e2	1.6445016068452711e-13
7.501875468867217e0	1.4319816496302607e2	3.3778873455851696e-14
7.7519379844961245e0	1.4300153646020726e2	-1.840055485636393e-13
8.002000500125032e0	1.4280807287934022e2	-2.480069223096405e-13
8.252063015753938e0	1.426177503665071e2	-3.111191095259415e-14
8.502125531382847e0	1.42430557157597e2	5.689022833294499e-14
8.752188047011753e0	1.4224647648698013e2	1.3244728133291524e-13
9.002250562640661e0	1.4206549118349972e2	2.0444839683283254e-14
